Log start on, 2023-10-22 15:02:16
Feature, Acceleration
NodeName, HostTimestamp (ms), notificationTime, timeStamp, RawData, X (mg), Y (mg), Z (mg)
rnat697 @93B0A5, 3135, Sun Oct 22 15:02:19 GMT+13:00 2023, 19721, [9 77 96 -2 64 -1 62 -4 26 59 -80 4 16 1 -26 -3 -70 -1 67 -2], -416.0, -192.0, -962.0
rnat697 @93B0A5, 3343, Sun Oct 22 15:02:19 GMT+13:00 2023, 19727, [15 77 100 -2 73 -1 63 -4 36 59 -80 4 16 1 -34 -3 -75 -1 64 -2], -412.0, -183.0, -961.0
rnat697 @93B0A5, 3343, Sun Oct 22 15:02:19 GMT+13:00 2023, 19733, [21 77 100 -2 73 -1 63 -4 36 59 -80 4 16 1 -34 -3 -75 -1 64 -2], -412.0, -183.0, -961.0
rnat697 @93B0A5, 3344, Sun Oct 22 15:02:19 GMT+13:00 2023, 19739, [27 77 98 -2 72 -1 61 -4 46 59 -80 4 16 1 -25 -3 -67 -1 64 -2], -414.0, -184.0, -963.0
rnat697 @93B0A5, 3344, Sun Oct 22 15:02:19 GMT+13:00 2023, 19746, [34 77 82 -2 73 -1 66 -4 56 59 -80 4 15 1 -28 -3 -66 -1 62 -2], -430.0, -183.0, -958.0
rnat697 @93B0A5, 3344, Sun Oct 22 15:02:19 GMT+13:00 2023, 19721, [9 77 96 -2 64 -1 62 -4 26 59 -80 4 16 1 -26 -3 -70 -1 67 -2], -416.0, -192.0, -962.0
rnat697 @93B0A5, 3345, Sun Oct 22 15:02:19 GMT+13:00 2023, 19727, [15 77 100 -2 73 -1 63 -4 36 59 -80 4 16 1 -34 -3 -75 -1 64 -2], -412.0, -183.0, -961.0
rnat697 @93B0A5, 3345, Sun Oct 22 15:02:19 GMT+13:00 2023, 19733, [21 77 100 -2 73 -1 63 -4 36 59 -80 4 16 1 -34 -3 -75 -1 64 -2], -412.0, -183.0, -961.0
rnat697 @93B0A5, 3345, Sun Oct 22 15:02:19 GMT+13:00 2023, 19739, [27 77 98 -2 72 -1 61 -4 46 59 -80 4 16 1 -25 -3 -67 -1 64 -2], -414.0, -184.0, -963.0
rnat697 @93B0A5, 3346, Sun Oct 22 15:02:19 GMT+13:00 2023, 19746, [34 77 82 -2 73 -1 66 -4 56 59 -80 4 15 1 -28 -3 -66 -1 62 -2], -430.0, -183.0, -958.0
rnat697 @93B0A5, 3346, Sun Oct 22 15:02:19 GMT+13:00 2023, 19721, [9 77 96 -2 64 -1 62 -4 26 59 -80 4 16 1 -26 -3 -70 -1 67 -2], -416.0, -192.0, -962.0
rnat697 @93B0A5, 3347, Sun Oct 22 15:02:19 GMT+13:00 2023, 19727, [15 77 100 -2 73 -1 63 -4 36 59 -80 4 16 1 -34 -3 -75 -1 64 -2], -412.0, -183.0, -961.0
rnat697 @93B0A5, 3347, Sun Oct 22 15:02:19 GMT+13:00 2023, 19733, [21 77 100 -2 73 -1 63 -4 36 59 -80 4 16 1 -34 -3 -75 -1 64 -2], -412.0, -183.0, -961.0
rnat697 @93B0A5, 3347, Sun Oct 22 15:02:19 GMT+13:00 2023, 19739, [27 77 98 -2 72 -1 61 -4 46 59 -80 4 16 1 -25 -3 -67 -1 64 -2], -414.0, -184.0, -963.0
rnat697 @93B0A5, 3348, Sun Oct 22 15:02:19 GMT+13:00 2023, 19746, [34 77 82 -2 73 -1 66 -4 56 59 -80 4 15 1 -28 -3 -66 -1 62 -2], -430.0, -183.0, -958.0
rnat697 @93B0A5, 3358, Sun Oct 22 15:02:19 GMT+13:00 2023, 19752, [40 77 88 -2 77 -1 74 -4 66 59 -80 4 16 1 -23 -3 -73 -1 58 -2], -424.0, -179.0, -950.0
rnat697 @93B0A5, 3359, Sun Oct 22 15:02:19 GMT+13:00 2023, 19752, [40 77 88 -2 77 -1 74 -4 66 59 -80 4 16 1 -23 -3 -73 -1 58 -2], -424.0, -179.0, -950.0
rnat697 @93B0A5, 3359, Sun Oct 22 15:02:19 GMT+13:00 2023, 19752, [40 77 88 -2 77 -1 74 -4 66 59 -80 4 16 1 -23 -3 -73 -1 58 -2], -424.0, -179.0, -950.0
rnat697 @93B0A5, 3403, Sun Oct 22 15:02:19 GMT+13:00 2023, 19758, [46 77 88 -2 77 -1 74 -4 66 59 -80 4 16 1 -23 -3 -73 -1 58 -2], -424.0, -179.0, -950.0
rnat697 @93B0A5, 3404, Sun Oct 22 15:02:19 GMT+13:00 2023, 19758, [46 77 88 -2 77 -1 74 -4 66 59 -80 4 16 1 -23 -3 -73 -1 58 -2], -424.0, -179.0, -950.0
rnat697 @93B0A5, 3404, Sun Oct 22 15:02:19 GMT+13:00 2023, 19758, [46 77 88 -2 77 -1 74 -4 66 59 -80 4 16 1 -23 -3 -73 -1 58 -2], -424.0, -179.0, -950.0
rnat697 @93B0A5, 3448, Sun Oct 22 15:02:19 GMT+13:00 2023, 19764, [52 77 92 -2 74 -1 66 -4 76 59 -80 4 16 1 -28 -3 -67 -1 61 -2], -420.0, -182.0, -958.0
rnat697 @93B0A5, 3449, Sun Oct 22 15:02:19 GMT+13:00 2023, 19764, [52 77 92 -2 74 -1 66 -4 76 59 -80 4 16 1 -28 -3 -67 -1 61 -2], -420.0, -182.0, -958.0
rnat697 @93B0A5, 3449, Sun Oct 22 15:02:19 GMT+13:00 2023, 19764, [52 77 92 -2 74 -1 66 -4 76 59 -80 4 16 1 -28 -3 -67 -1 61 -2], -420.0, -182.0, -958.0
rnat697 @93B0A5, 3494, Sun Oct 22 15:02:19 GMT+13:00 2023, 19771, [59 77 92 -2 78 -1 68 -4 86 59 -80 4 16 1 -25 -3 -75 -1 58 -2], -420.0, -178.0, -956.0
rnat697 @93B0A5, 3494, Sun Oct 22 15:02:19 GMT+13:00 2023, 19771, [59 77 92 -2 78 -1 68 -4 86 59 -80 4 16 1 -25 -3 -75 -1 58 -2], -420.0, -178.0, -956.0
rnat697 @93B0A5, 3495, Sun Oct 22 15:02:19 GMT+13:00 2023, 19771, [59 77 92 -2 78 -1 68 -4 86 59 -80 4 16 1 -25 -3 -75 -1 58 -2], -420.0, -178.0, -956.0
rnat697 @93B0A5, 3610, Sun Oct 22 15:02:19 GMT+13:00 2023, 19777, [65 77 87 -2 76 -1 69 -4 96 59 -80 4 16 1 -25 -3 -72 -1 62 -2], -425.0, -180.0, -955.0
rnat697 @93B0A5, 3610, Sun Oct 22 15:02:19 GMT+13:00 2023, 19777, [65 77 87 -2 76 -1 69 -4 96 59 -80 4 16 1 -25 -3 -72 -1 62 -2], -425.0, -180.0, -955.0
rnat697 @93B0A5, 3611, Sun Oct 22 15:02:19 GMT+13:00 2023, 19777, [65 77 87 -2 76 -1 69 -4 96 59 -80 4 16 1 -25 -3 -72 -1 62 -2], -425.0, -180.0, -955.0
rnat697 @93B0A5, 3639, Sun Oct 22 15:02:19 GMT+13:00 2023, 19783, [71 77 87 -2 76 -1 69 -4 96 59 -80 4 16 1 -25 -3 -72 -1 62 -2], -425.0, -180.0, -955.0
rnat697 @93B0A5, 3639, Sun Oct 22 15:02:19 GMT+13:00 2023, 19783, [71 77 87 -2 76 -1 69 -4 96 59 -80 4 16 1 -25 -3 -72 -1 62 -2], -425.0, -180.0, -955.0
rnat697 @93B0A5, 3640, Sun Oct 22 15:02:19 GMT+13:00 2023, 19783, [71 77 87 -2 76 -1 69 -4 96 59 -80 4 16 1 -25 -3 -72 -1 62 -2], -425.0, -180.0, -955.0
rnat697 @93B0A5, 3674, Sun Oct 22 15:02:19 GMT+13:00 2023, 19789, [77 77 92 -2 79 -1 66 -4 106 59 -80 4 16 1 -22 -3 -67 -1 58 -2], -420.0, -177.0, -958.0
rnat697 @93B0A5, 3674, Sun Oct 22 15:02:19 GMT+13:00 2023, 19789, [77 77 92 -2 79 -1 66 -4 106 59 -80 4 16 1 -22 -3 -67 -1 58 -2], -420.0, -177.0, -958.0
rnat697 @93B0A5, 3675, Sun Oct 22 15:02:19 GMT+13:00 2023, 19789, [77 77 92 -2 79 -1 66 -4 106 59 -80 4 16 1 -22 -3 -67 -1 58 -2], -420.0, -177.0, -958.0
rnat697 @93B0A5, 3719, Sun Oct 22 15:02:19 GMT+13:00 2023, 19796, [84 77 84 -2 84 -1 72 -4 116 59 -80 4 16 1 -26 -3 -70 -1 59 -2], -428.0, -172.0, -952.0
rnat697 @93B0A5, 3719, Sun Oct 22 15:02:19 GMT+13:00 2023, 19796, [84 77 84 -2 84 -1 72 -4 116 59 -80 4 16 1 -26 -3 -70 -1 59 -2], -428.0, -172.0, -952.0
rnat697 @93B0A5, 3720, Sun Oct 22 15:02:19 GMT+13:00 2023, 19796, [84 77 84 -2 84 -1 72 -4 116 59 -80 4 16 1 -26 -3 -70 -1 59 -2], -428.0, -172.0, -952.0
rnat697 @93B0A5, 3764, Sun Oct 22 15:02:19 GMT+13:00 2023, 19802, [90 77 92 -2 76 -1 64 -4 126 59 -80 4 16 1 -19 -3 -70 -1 56 -2], -420.0, -180.0, -960.0
rnat697 @93B0A5, 3764, Sun Oct 22 15:02:19 GMT+13:00 2023, 19802, [90 77 92 -2 76 -1 64 -4 126 59 -80 4 16 1 -19 -3 -70 -1 56 -2], -420.0, -180.0, -960.0
rnat697 @93B0A5, 3765, Sun Oct 22 15:02:19 GMT+13:00 2023, 19802, [90 77 92 -2 76 -1 64 -4 126 59 -80 4 16 1 -19 -3 -70 -1 56 -2], -420.0, -180.0, -960.0
rnat697 @93B0A5, 3809, Sun Oct 22 15:02:19 GMT+13:00 2023, 19808, [96 77 84 -2 79 -1 64 -4 -120 59 -80 4 16 1 -23 -3 -67 -1 61 -2], -428.0, -177.0, -960.0
rnat697 @93B0A5, 3809, Sun Oct 22 15:02:19 GMT+13:00 2023, 19808, [96 77 84 -2 79 -1 64 -4 -120 59 -80 4 16 1 -23 -3 -67 -1 61 -2], -428.0, -177.0, -960.0
rnat697 @93B0A5, 3810, Sun Oct 22 15:02:19 GMT+13:00 2023, 19808, [96 77 84 -2 79 -1 64 -4 -120 59 -80 4 16 1 -23 -3 -67 -1 61 -2], -428.0, -177.0, -960.0
rnat697 @93B0A5, 3854, Sun Oct 22 15:02:19 GMT+13:00 2023, 19814, [102 77 84 -2 79 -1 64 -4 -120 59 -80 4 16 1 -23 -3 -67 -1 61 -2], -428.0, -177.0, -960.0
rnat697 @93B0A5, 3855, Sun Oct 22 15:02:19 GMT+13:00 2023, 19814, [102 77 84 -2 79 -1 64 -4 -120 59 -80 4 16 1 -23 -3 -67 -1 61 -2], -428.0, -177.0, -960.0
rnat697 @93B0A5, 3855, Sun Oct 22 15:02:19 GMT+13:00 2023, 19814, [102 77 84 -2 79 -1 64 -4 -120 59 -80 4 16 1 -23 -3 -67 -1 61 -2], -428.0, -177.0, -960.0
rnat697 @93B0A5, 3898, Sun Oct 22 15:02:20 GMT+13:00 2023, 19821, [109 77 85 -2 78 -1 69 -4 -110 59 -80 4 16 1 -26 -3 -69 -1 59 -2], -427.0, -178.0, -955.0
rnat697 @93B0A5, 3898, Sun Oct 22 15:02:20 GMT+13:00 2023, 19821, [109 77 85 -2 78 -1 69 -4 -110 59 -80 4 16 1 -26 -3 -69 -1 59 -2], -427.0, -178.0, -955.0
rnat697 @93B0A5, 3899, Sun Oct 22 15:02:20 GMT+13:00 2023, 19821, [109 77 85 -2 78 -1 69 -4 -110 59 -80 4 16 1 -26 -3 -69 -1 59 -2], -427.0, -178.0, -955.0
rnat697 @93B0A5, 3943, Sun Oct 22 15:02:20 GMT+13:00 2023, 19827, [115 77 84 -2 75 -1 66 -4 -100 59 -80 4 16 1 -32 -3 -70 -1 56 -2], -428.0, -181.0, -958.0
rnat697 @93B0A5, 3943, Sun Oct 22 15:02:20 GMT+13:00 2023, 19827, [115 77 84 -2 75 -1 66 -4 -100 59 -80 4 16 1 -32 -3 -70 -1 56 -2], -428.0, -181.0, -958.0
rnat697 @93B0A5, 3944, Sun Oct 22 15:02:20 GMT+13:00 2023, 19827, [115 77 84 -2 75 -1 66 -4 -100 59 -80 4 16 1 -32 -3 -70 -1 56 -2], -428.0, -181.0, -958.0
rnat697 @93B0A5, 4033, Sun Oct 22 15:02:20 GMT+13:00 2023, 19833, [121 77 82 -2 74 -1 67 -4 -90 59 -80 4 16 1 -25 -3 -72 -1 62 -2], -430.0, -182.0, -957.0
rnat697 @93B0A5, 4033, Sun Oct 22 15:02:20 GMT+13:00 2023, 19833, [121 77 82 -2 74 -1 67 -4 -90 59 -80 4 16 1 -25 -3 -72 -1 62 -2], -430.0, -182.0, -957.0
rnat697 @93B0A5, 4033, Sun Oct 22 15:02:20 GMT+13:00 2023, 19833, [121 77 82 -2 74 -1 67 -4 -90 59 -80 4 16 1 -25 -3 -72 -1 62 -2], -430.0, -182.0, -957.0
rnat697 @93B0A5, 4078, Sun Oct 22 15:02:20 GMT+13:00 2023, 19839, [127 77 82 -2 74 -1 67 -4 -90 59 -80 4 16 1 -25 -3 -72 -1 62 -2], -430.0, -182.0, -957.0
rnat697 @93B0A5, 4078, Sun Oct 22 15:02:20 GMT+13:00 2023, 19839, [127 77 82 -2 74 -1 67 -4 -90 59 -80 4 16 1 -25 -3 -72 -1 62 -2], -430.0, -182.0, -957.0
rnat697 @93B0A5, 4079, Sun Oct 22 15:02:20 GMT+13:00 2023, 19839, [127 77 82 -2 74 -1 67 -4 -90 59 -80 4 16 1 -25 -3 -72 -1 62 -2], -430.0, -182.0, -957.0
rnat697 @93B0A5, 4123, Sun Oct 22 15:02:20 GMT+13:00 2023, 19846, [-122 77 82 -2 84 -1 68 -4 -80 59 -80 4 16 1 -28 -3 -72 -1 68 -2], -430.0, -172.0, -956.0
rnat697 @93B0A5, 4123, Sun Oct 22 15:02:20 GMT+13:00 2023, 19846, [-122 77 82 -2 84 -1 68 -4 -80 59 -80 4 16 1 -28 -3 -72 -1 68 -2], -430.0, -172.0, -956.0
rnat697 @93B0A5, 4124, Sun Oct 22 15:02:20 GMT+13:00 2023, 19846, [-122 77 82 -2 84 -1 68 -4 -80 59 -80 4 16 1 -28 -3 -72 -1 68 -2], -430.0, -172.0, -956.0
rnat697 @93B0A5, 4168, Sun Oct 22 15:02:20 GMT+13:00 2023, 19852, [-116 77 78 -2 83 -1 76 -4 -70 59 -80 4 16 1 -25 -3 -72 -1 59 -2], -434.0, -173.0, -948.0
rnat697 @93B0A5, 4169, Sun Oct 22 15:02:20 GMT+13:00 2023, 19852, [-116 77 78 -2 83 -1 76 -4 -70 59 -80 4 16 1 -25 -3 -72 -1 59 -2], -434.0, -173.0, -948.0
rnat697 @93B0A5, 4169, Sun Oct 22 15:02:20 GMT+13:00 2023, 19852, [-116 77 78 -2 83 -1 76 -4 -70 59 -80 4 16 1 -25 -3 -72 -1 59 -2], -434.0, -173.0, -948.0
rnat697 @93B0A5, 4214, Sun Oct 22 15:02:20 GMT+13:00 2023, 19858, [-110 77 87 -2 83 -1 60 -4 -60 59 -80 4 15 1 -34 -3 -66 -1 62 -2], -425.0, -173.0, -964.0
rnat697 @93B0A5, 4214, Sun Oct 22 15:02:20 GMT+13:00 2023, 19858, [-110 77 87 -2 83 -1 60 -4 -60 59 -80 4 15 1 -34 -3 -66 -1 62 -2], -425.0, -173.0, -964.0
rnat697 @93B0A5, 4215, Sun Oct 22 15:02:20 GMT+13:00 2023, 19858, [-110 77 87 -2 83 -1 60 -4 -60 59 -80 4 15 1 -34 -3 -66 -1 62 -2], -425.0, -173.0, -964.0
rnat697 @93B0A5, 4305, Sun Oct 22 15:02:20 GMT+13:00 2023, 19864, [-104 77 87 -2 83 -1 60 -4 -60 59 -80 4 15 1 -34 -3 -66 -1 62 -2], -425.0, -173.0, -964.0
rnat697 @93B0A5, 4306, Sun Oct 22 15:02:20 GMT+13:00 2023, 19871, [-97 77 73 -2 77 -1 74 -4 -50 59 -80 4 16 1 -25 -3 -69 -1 65 -2], -439.0, -179.0, -950.0
rnat697 @93B0A5, 4306, Sun Oct 22 15:02:20 GMT+13:00 2023, 19864, [-104 77 87 -2 83 -1 60 -4 -60 59 -80 4 15 1 -34 -3 -66 -1 62 -2], -425.0, -173.0, -964.0
rnat697 @93B0A5, 4307, Sun Oct 22 15:02:20 GMT+13:00 2023, 19871, [-97 77 73 -2 77 -1 74 -4 -50 59 -80 4 16 1 -25 -3 -69 -1 65 -2], -439.0, -179.0, -950.0
rnat697 @93B0A5, 4307, Sun Oct 22 15:02:20 GMT+13:00 2023, 19864, [-104 77 87 -2 83 -1 60 -4 -60 59 -80 4 15 1 -34 -3 -66 -1 62 -2], -425.0, -173.0, -964.0
rnat697 @93B0A5, 4307, Sun Oct 22 15:02:20 GMT+13:00 2023, 19871, [-97 77 73 -2 77 -1 74 -4 -50 59 -80 4 16 1 -25 -3 -69 -1 65 -2], -439.0, -179.0, -950.0
